Advertiser,Brand Root,Brand (Major),Brand (Minor),Brand (Leaf),Category Level 1,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Category Level 6,Category Level 7,Category Level 8,Channel,Creative Id,Width,Height,Creative Type,Last Seen,Duration,Text,Landing Page,Link To Creative,Link to Post,Format,Placement,Ad Buy Type,Publisher,Spend (USD),Impressions,focus_vs_other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644499359,360,637,Video,2024-10-25,0,"Who feeds baby may change, but their rhythm can stay the same. Our Natural bottles help baby transition from breast to bottle.",,https://s3.amazonaws.com/YM_Ads/9016750964896605361.png,,Other,Feed,Direct,Facebook,615.52,81928,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,667243807,360,634,Video,2024-09-12,0,"Here are some tips from Dr. Mona for moms preparing to go back to work, or working to transition to bottles to share the care    ",https://www.facebook.com/Philips.AVENT?fref=nf&__tn__=%7E%7E-R&_rdr,https://s3.amazonaws.com/YM_Ads/-8145295365772926673.png,https://www.facebook.com/8494102400654430,Other,Feed,Direct,Facebook,5093.98,702796,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644499359,360,637,Video,2024-10-25,0,"Who feeds baby may change, but their rhythm can stay the same. Our Natural bottles help baby transition from breast to bottle.",,https://s3.amazonaws.com/YM_Ads/9016750964896605361.png,,Other,Stories,Direct,Facebook,292.82,40399,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,667243807,360,634,Video,2024-09-12,0,"Here are some tips from Dr. Mona for moms preparing to go back to work, or working to transition to bottles to share the care    ",https://www.facebook.com/Philips.AVENT?fref=nf&__tn__=%7E%7E-R&_rdr,https://s3.amazonaws.com/YM_Ads/-8145295365772926673.png,https://www.facebook.com/8494102400654430,Other,Reels,Direct,Facebook,279.34,38539,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644501227,360,548,Image,2024-10-28,0,"Get Philips Avent Natural Bottles, designed to match your baby's natural feeding rhythm for seamless combination feeding.",,https://s3.amazonaws.com/YM_Ads/-878505067216096257.png,,Other,Feed,Direct,Facebook,8673.58,1159311,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,475370488,360,548,Image,2024-05-30,0,"Get Philips Avent Natural Bottles, designed to match your baby's natural feeding rhythm for seamless combination feeding. Combination feeding made seamless Learn More",www.philips.ca/c-m-mo/baby-bottles-nipples/natural-response-baby-bottles,https://s3.amazonaws.com/YM_Ads/-8961786589263788832.png,,Other,Feed,Direct,Facebook,5116.45,688898,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644501227,360,548,Image,2024-10-28,0,"Get Philips Avent Natural Bottles, designed to match your baby's natural feeding rhythm for seamless combination feeding.",,https://s3.amazonaws.com/YM_Ads/-878505067216096257.png,,Other,Reels,Direct,Facebook,948.36,122466,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,475370488,360,548,Image,2024-05-30,0,"Get Philips Avent Natural Bottles, designed to match your baby's natural feeding rhythm for seamless combination feeding. Combination feeding made seamless Learn More",www.philips.ca/c-m-mo/baby-bottles-nipples/natural-response-baby-bottles,https://s3.amazonaws.com/YM_Ads/-8961786589263788832.png,,Other,Reels,Direct,Facebook,284.02,37924,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,532189858,586,375,Other,2024-02-29,0,The Philips Avent Fast Bottle Warme… See more,,,,Other,Other,Direct,Facebook,979.1,140474,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,475370488,360,548,Image,2024-05-30,0,"Get Philips Avent Natural Bottles, designed to match your baby's natural feeding rhythm for seamless combination feeding. Combination feeding made seamless Learn More",www.philips.ca/c-m-mo/baby-bottles-nipples/natural-response-baby-bottles,https://s3.amazonaws.com/YM_Ads/-8961786589263788832.png,,Other,Other,Direct,Facebook,956.33,137206,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,888189177,430,625,Video,2025-06-29,15,"Our Natural bottle lets baby control the pace, like breastfeeding, so moms can self-care too. #ShareTheCare  ",https://www.amazon.com/stores/page/3EF512EF-E5A2-49B3-9CA6-4EBC86EAABFE?maas=maas_adg_B4D316149DC219CAA453974A28D82B80_afap_abs&ref_=aa_maas&tag=maas,https://s3.amazonaws.com/YM_Ads/-7644993599894911897.png,https://www.facebook.com/9598188443583851,Other,Feed,Direct,Facebook,537.98,80741,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,520639776,586,375,Other,2024-06-29,0,Match baby's natural feeding rhythm usa.philips.com The Philips Avent Natural Response… See more,,,,Other,Stories,Direct,Facebook,5325.45,711082,focus
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,727492457,430,468,Video,2024-11-30,15,1 in 2 moms find it challenging to relax when their baby is sleeping. Philips Avent's smart monitor help moms #ShareTheCare,,https://s3.amazonaws.com/YM_Ads/-8660143339451981937.png,https://www.instagram.com/p/DAl2BHVMtqF,Other,Feed,Direct,Facebook,11325.51,1454622,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,520639776,586,375,Other,2024-06-29,0,Match baby's natural feeding rhythm usa.philips.com The Philips Avent Natural Response… See more,,,,Other,Other,Direct,Facebook,998.82,143303,focus
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,609605594,375,586,Other,2024-05-30,0,1 de cada 2 mamás pierden más de 2 horas de sueño por noche. Nos gustaría cambiar eso. Todos nuestros productos ayudan a las mamás #CompartiendoElcuidado,,,,Other,Reels,Direct,Facebook,281.65,37608,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,514970058,586,375,Other,2024-02-06,0,30 day money back guarantee,,,,Other,Other,Direct,Facebook,2265.05,324972,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,611507264,360,547,Carousel,2024-12-31,0,"All moms deserve a comfy fit when they pump. Philips Avent's soft silicone cushions adapt to fit you, with a 99.98% fit rate!",,https://s3.amazonaws.com/YM_Ads/-7454818317615282104.png,https://www.facebook.com/823972806439174,Other,Feed,Direct,Facebook,657.74,84936,focus
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644501225,360,637,Video,2024-10-18,0,Baby knows what they need. So let baby take the lead while they feed. Our Natural bottles are designed to do just that.,,https://s3.amazonaws.com/YM_Ads/2837188287534179527.png,,Other,Feed,Direct,Facebook,2454.4,326648,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,708199389,360,690,Video,2024-10-05,0,2 in 3 moms have less than 1 hour to themselves each day. We'd like to change that. Let's give moms more time for rest. # PhilipsAvent PhilipsAventPH ShareTheCare Parentyourway,https://www.facebook.com/Philips.AVENT.Philippines?fref=nf&__tn__=%7E%7E-R&_rdr,https://s3.amazonaws.com/YM_Ads/4812390493683893073.png,https://www.facebook.com/8828857627132666,Other,Feed,Direct,Facebook,308.23,39802,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,644501225,360,637,Video,2024-10-18,0,Baby knows what they need. So let baby take the lead while they feed. Our Natural bottles are designed to do just that.,,https://s3.amazonaws.com/YM_Ads/2837188287534179527.png,,Other,Stories,Direct,Facebook,267.14,36856,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,919161816,430,604,Video,2025-06-26,6,"Our Premium Connected Baby Monitor makes the invisible visible, so moms can rest too #ShareTheCare",https://www.amazon.com/Connected-Breathing-Tracking-Detection-Translation/dp/B0D161PYFW?maas=maas_adg_E3A64B37F3BCC0031A2CE7F5ED2A42FA_afap_abs&ref_=aa_maas&tag=maas,https://s3.amazonaws.com/YM_Ads/1050290201294066143.png,https://www.facebook.com/1132808335555618,Other,Feed,Direct,Facebook,15072.0,2262013,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,879671373,430,639,Video,2025-07-14,6,"Our glass natural bottles are made with pure glass in the USA and let your baby set the pace, just like breastfeeding.  ",,https://s3.amazonaws.com/YM_Ads/2836985868771197265.png,https://www.facebook.com/9997107113657229,Other,Feed,Direct,Facebook,3712.59,549870,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,632318911,375,586,Other,2025-06-08,0,Philips Avent,,,,Other,Feed,Direct,Facebook,544.22,75084,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,951974622,430,959,Image,2025-07-10,0,"Prime Day is here! Save on our Premium Connected Baby Monitor and keep your little one close, no matter where you are.",https://www.amazon.com/stores/page/120E36FE-60CC-4231-9AFB-4B2A78194FC1?maas=maas_adg_E547B23EC28F9BF2A1765343412C4345_afap_abs&ref_=aa_maas&tag=maas,https://s3.amazonaws.com/YM_Ads/5321914503766347647.png,,Other,Feed,Direct,Facebook,2126.25,300396,other
Koninklijke Philips,Avent,Avent,Avent,Avent,All Categories,Consumer Packaged Goods,Baby & Toddler,Baby Feeding,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Baby Bottles & Nursing Aids,Facebook,575930420,375,586,Other,2024-09-15,0,ברוכים הבאים לעידן חדש של שאיבה עם … See more,,,,Other,Feed,Direct,Facebook,557.06,76856,focus
